Year,Primary_Type,Count,Mean_Temp
2012,ASSAULT,75,58.5
2012,BURGLARY,55,58.5
2012,THEFT,183,59
2012,BATTERY,157,59
2012,NARCOTICS,123,59
2012,CRIMINAL DAMAGE,108,59
2012,ASSAULT,61,59
2012,BURGLARY,44,59
2012,BATTERY,183,63.5
2012,THEFT,173,63.5
2012,NARCOTICS,127,63.5
2012,CRIMINAL DAMAGE,69,63.5
2012,BURGLARY,65,63.5
2012,ASSAULT,62,63.5
2012,THEFT,202,64.5
2012,BATTERY,187,64.5
2012,CRIMINAL DAMAGE,118,64.5
2012,NARCOTICS,98,64.5
2012,ASSAULT,76,64.5
2012,BURGLARY,57,64.5
2012,THEFT,242,64
2012,BATTERY,174,64
2012,CRIMINAL DAMAGE,114,64
2012,NARCOTICS,92,64
2012,ASSAULT,61,64
2012,BURGLARY,55,64
2012,BATTERY,254,70
2012,THEFT,220,70
2012,CRIMINAL DAMAGE,125,70
2012,NARCOTICS,97,70
2012,ASSAULT,67,70
2012,BURGLARY,53,70
2012,BATTERY,255,69
2012,THEFT,176,69
2012,CRIMINAL DAMAGE,108,69
2012,NARCOTICS,90,69
2012,ASSAULT,64,69
2012,BURGLARY,34,69
2012,THEFT,212,69.5
2012,BATTERY,167,69.5
2012,NARCOTICS,118,69.5
2012,CRIMINAL DAMAGE,111,69.5
2012,BURGLARY,69,69.5
2012,ASSAULT,65,69.5
2012,THEFT,189,74
2012,BATTERY,177,74
2012,NARCOTICS,119,74
2012,CRIMINAL DAMAGE,94,74
2012,ASSAULT,77,74
2012,BURGLARY,60,74
2012,BATTERY,226,74
2012,THEFT,190,74
2012,NARCOTICS,129,74
2012,CRIMINAL DAMAGE,120,74
2012,ASSAULT,83,74
2012,BURGLARY,58,74
2012,THEFT,219,71.5
2012,BATTERY,202,71.5
2012,CRIMINAL DAMAGE,86,71.5
2012,NARCOTICS,85,71.5
2012,ASSAULT,74,71.5
2012,BURGLARY,62,71.5
2012,THEFT,236,59
2012,BATTERY,143,59
2012,NARCOTICS,107,59
2012,CRIMINAL DAMAGE,90,59
2012,BURGLARY,74,59
2012,ASSAULT,73,59
2012,THEFT,201,56
2012,BATTERY,169,56
2012,CRIMINAL DAMAGE,114,56
2012,NARCOTICS,110,56
2012,BURGLARY,52,56
2012,ASSAULT,48,56
2012,BATTERY,202,57
2012,THEFT,163,57
2012,CRIMINAL DAMAGE,119,57
2012,NARCOTICS,93,57
2012,ASSAULT,53,57
2012,BURGLARY,52,57
2012,THEFT,191,42
2012,BATTERY,120,42
2012,NARCOTICS,105,42
2012,CRIMINAL DAMAGE,97,42
2012,BURGLARY,56,42
2012,ASSAULT,54,42
2012,THEFT,187,57
2012,BATTERY,143,57
2012,NARCOTICS,113,57
2012,CRIMINAL DAMAGE,93,57
2012,ASSAULT,60,57
2012,BURGLARY,45,57
2012,THEFT,236,56.5
2012,BATTERY,153,56.5
2012,NARCOTICS,99,56.5
2012,CRIMINAL DAMAGE,83,56.5
2012,ASSAULT,64,56.5
2012,BURGLARY,40,56.5
2012,THEFT,211,44
2012,NARCOTICS,181,44
2012,BATTERY,124,44
2012,CRIMINAL DAMAGE,88,44
2012,BURGLARY,65,44
2012,ASSAULT,52,44
2012,THEFT,210,46.5
2012,BATTERY,163,46.5
2012,NARCOTICS,112,46.5
2012,CRIMINAL DAMAGE,102,46.5
2012,BURGLARY,67,46.5
2012,ASSAULT,44,46.5
2012,THEFT,195,44.5
2012,BATTERY,160,44.5
2012,NARCOTICS,114,44.5
2012,CRIMINAL DAMAGE,107,44.5
2012,ASSAULT,56,44.5
2012,BURGLARY,48,44.5
2012,THEFT,244,49.5
2012,BATTERY,178,49.5
2012,NARCOTICS,108,49.5
2012,CRIMINAL DAMAGE,100,49.5
2012,ASSAULT,46,49.5
2012,BURGLARY,45,49.5
2012,THEFT,202,54.5
2012,BATTERY,116,54.5
2012,CRIMINAL DAMAGE,102,54.5
2012,NARCOTICS,90,54.5
2012,ASSAULT,41,54.5
2012,BURGLARY,40,54.5
2012,THEFT,218,59
2012,BATTERY,131,59
2012,NARCOTICS,101,59
2012,CRIMINAL DAMAGE,99,59
2012,ASSAULT,51,59
2012,BURGLARY,51,59
2012,THEFT,206,52
2012,BATTERY,124,52
2012,NARCOTICS,117,52
2012,CRIMINAL DAMAGE,93,52
2012,BURGLARY,51,52
2012,ASSAULT,49,52
2012,THEFT,215,43.5
2012,BATTERY,127,43.5
2012,NARCOTICS,110,43.5
2012,CRIMINAL DAMAGE,96,43.5
2012,BURGLARY,67,43.5
2012,ASSAULT,43,43.5
2012,THEFT,227,43
2012,NARCOTICS,128,43
2012,BATTERY,119,43
2012,CRIMINAL DAMAGE,92,43
2012,BURGLARY,55,43
2012,ASSAULT,42,43
2012,BATTERY,217,50.5
2012,THEFT,205,50.5
2012,CRIMINAL DAMAGE,105,50.5
2012,NARCOTICS,102,50.5
2012,ASSAULT,48,50.5
2012,BURGLARY,40,50.5
2012,BATTERY,184,55.5
2012,THEFT,154,55.5
2012,CRIMINAL DAMAGE,110,55.5
2012,NARCOTICS,87,55.5
