Year,Primary Type,Count,Mean_Temp
2013,THEFT,188,60.5
2013,THEFT,209,45.5
2013,THEFT,166,51.5
2013,THEFT,169,46
2013,THEFT,197,50
2013,THEFT,197,70.5
2013,THEFT,241,72
2013,THEFT,229,68
2013,THEFT,217,62.5
2013,THEFT,217,68
2013,THEFT,166,72
2013,THEFT,192,77
2013,THEFT,208,72.5
2013,THEFT,230,62.5
2013,THEFT,179,48
2013,THEFT,205,49
2013,THEFT,186,50.5
2013,THEFT,144,56
2013,THEFT,167,57.5
2013,THEFT,214,66
2013,THEFT,193,74
2013,THEFT,216,73.5
2013,THEFT,197,70.5
2013,THEFT,253,69.5
2013,THEFT,171,53
2013,THEFT,223,55.5
2013,THEFT,213,61
2013,THEFT,215,63.5
2013,THEFT,217,58
2013,THEFT,178,60
2013,THEFT,193,61.5
2013,THEFT,182,67.5
2013,THEFT,201,68
2013,THEFT,206,71.5
2013,THEFT,213,74.5
2013,THEFT,216,65.5
2013,THEFT,245,67
2013,THEFT,218,69
2013,THEFT,216,77.5
2013,THEFT,240,73.5
2013,THEFT,210,63.5
2013,THEFT,204,64
2013,THEFT,244,71
2013,THEFT,220,75
2013,THEFT,203,73.5
2013,THEFT,171,76.5
2013,THEFT,189,78
2013,THEFT,196,76
2013,THEFT,205,73
2013,THEFT,202,77
2013,THEFT,221,75
2013,THEFT,209,68
2013,THEFT,217,69.5
2013,THEFT,286,67
2013,THEFT,221,64
2013,THEFT,232,65.5
2013,THEFT,195,69.5
2013,THEFT,195,73
2013,THEFT,224,74
2013,THEFT,204,79
2013,THEFT,221,78
2013,THEFT,245,79
2013,THEFT,212,75.5
2013,THEFT,227,72.5
2013,THEFT,234,70.5
2013,THEFT,228,73
2013,THEFT,231,80
2013,THEFT,261,80
2013,THEFT,205,82.5
2013,THEFT,241,85
2013,THEFT,226,86
2013,THEFT,237,83.5
2013,THEFT,218,80
2013,THEFT,245,78
2013,THEFT,272,79
2013,THEFT,241,70.5
2013,THEFT,242,66
2013,THEFT,234,69
2013,THEFT,245,66
2013,THEFT,219,60
2013,THEFT,191,61.5
2013,THEFT,240,66.5
2013,THEFT,229,65.5
2013,THEFT,218,68.5
2013,THEFT,253,71
2013,THEFT,256,73
2013,THEFT,268,72.5
2013,THEFT,228,67.5
2013,THEFT,209,66.5
2013,THEFT,210,75
2013,THEFT,231,78
2013,THEFT,211,71.5
2013,THEFT,229,70.5
2013,THEFT,257,72.5
2013,THEFT,181,70.5
2013,THEFT,260,74.5
2013,THEFT,265,64
2013,THEFT,265,64
2013,THEFT,237,65
2013,THEFT,240,68.5
2013,THEFT,255,69
2013,THEFT,207,70
2013,THEFT,234,71
2013,THEFT,230,77
2013,THEFT,216,79
2013,THEFT,202,73
2013,THEFT,221,72
2013,THEFT,240,73
2013,THEFT,229,77
2013,THEFT,224,81
2013,THEFT,211,86.5
2013,THEFT,219,77
2013,THEFT,215,77.5
2013,THEFT,252,81.5
2013,THEFT,223,74.5
2013,THEFT,251,75
2013,THEFT,228,69.5
2013,THEFT,226,67
2013,THEFT,196,71.5
2013,THEFT,236,66.5
2013,THEFT,222,71.5
2013,THEFT,236,76.5
2013,THEFT,177,74
2013,THEFT,213,81
2013,THEFT,204,86
2013,THEFT,187,83
2013,THEFT,208,72
2013,THEFT,233,59.5
